from,to,connectivity
I1L,I1L,-349.94584218349
I1L,I1R,-35.0160200975406
I1L,M2R,-4.69570209189715
I1L,M3L,-1.92060561817289
I1L,M3R,-4.02865319753073
I1L,M4,1.70694099658317
I1L,M5,-6.18565874832208e-07
I1L,MCL,-0.515621936175194
I1L,MCR,-12.8889661148005
I1L,MI,128.624568839883
I1L,NSML,115.980653742477
I1L,NSMR,-12.189715276485
I1L,I2L,88.0429966121592
I1L,I2R,-21.0995395145001
I1L,I3,-39.7112841063299
I1L,I4,-30.9526310301717
I1L,I5,-163.069668829983
I1L,I6,-37.19541274328
I1L,M1,-29.0287533510818
I1L,M2L,-5.20024595821178
I1R,I1L,-5.55402298382614
I1R,I1R,-280.945403943986
I1R,M2R,26.7370567940411
I1R,M3L,-1.23272375275246
I1R,M3R,-1.30072668316643
I1R,M4,-5.19472571610004
I1R,M5,8.98040604744438e-08
I1R,MCL,-2.03565640725537
I1R,MCR,3.54383672962103
I1R,MI,1.75650208609932
I1R,NSML,-5.06213462174492
I1R,NSMR,88.2610420555684
I1R,I2L,-16.3409950745754
I1R,I2R,8.3507094687302
I1R,I3,0.744182906759306
I1R,I4,-17.2959804041675
I1R,I5,-20.9511389206418
I1R,I6,-8.25402943811787
I1R,M1,1.71468024765818
I1R,M2L,-0.217150043517904
M2R,I1L,-1548.74434659437
M2R,I1R,-1383.60851179308
M2R,M2R,-3401.65552309908
M2R,M3L,-115.512135939541
M2R,M3R,-106.704157280382
M2R,M4,-44.9386075790171
M2R,M5,3.23396331172367e-05
M2R,MCL,-111.006859706564
M2R,MCR,-258.448613853982
M2R,MI,-1097.99276243308
M2R,NSML,-605.044666256159
M2R,NSMR,-1229.26877166759
M2R,I2L,-1321.07324222966
M2R,I2R,-1478.75206881674
M2R,I3,-1265.00787887826
M2R,I4,-1690.61565498873
M2R,I5,-1425.5176968024
M2R,I6,-1448.78425218032
M2R,M1,-1468.78567822951
M2R,M2L,-1242.48616354491
M3L,I1L,105.457711780264
M3L,I1R,14.6085059465004
M3L,M2R,149.726220077412
M3L,M3L,-0.079182202282027
M3L,M3R,-1.94845422393973
M3L,M4,31.167660446619
M3L,M5,-4.22972805092306e-06
M3L,MCL,0.087512257081471
M3L,MCR,11.9809529924032
M3L,MI,40.9511465076048
M3L,NSML,238.182144074879
M3L,NSMR,17.1516145599653
M3L,I2L,0.565583437326495
M3L,I2R,6.9703297506494
M3L,I3,32.2445486675115
M3L,I4,27.6428647068715
M3L,I5,16.4574025767051
M3L,I6,23.8605603951564
M3L,M1,2.4786231325952
M3L,M2L,192.273797733604
M3R,I1L,62.4336278581522
M3R,I1R,270.619342161448
M3R,M2R,311.104323515341
M3R,M3L,0.138705974747609
M3R,M3R,-4.16562592687569
M3R,M4,-4.13115141403455
M3R,M5,-2.81432798122754e-06
M3R,MCL,0.128067477779041
M3R,MCR,44.9510032413382
M3R,MI,32.7935774008156
M3R,NSML,28.0276504622543
M3R,NSMR,830.989529131528
M3R,I2L,1.28508259037335
M3R,I2R,42.8166640555337
M3R,I3,54.2181214869397
M3R,I4,17.1984979515864
M3R,I5,7.376080277043
M3R,I6,25.5476766278152
M3R,M1,8.55678155051646
M3R,M2L,16.4442407237711
M4,I1L,-240.49433218056
M4,I1R,-233.158162605952
M4,M2R,-123.431339163817
M4,M3L,-3.50149362103548
M4,M3R,-8.40433280515481
M4,M4,-1386.23311028031
M4,M5,7.07139147601045e-06
M4,MCL,-2.69460827779676
M4,MCR,-76.7958839861285
M4,MI,-326.442764026321
M4,NSML,546.343909911328
M4,NSMR,-359.595944547204
M4,I2L,-256.998735256129
M4,I2R,-228.456641641811
M4,I3,-227.52628798377
M4,I4,-309.768382359624
M4,I5,-275.836769753978
M4,I6,-123.540460297765
M4,M1,-261.22955297096
M4,M2L,-163.735142229439
M5,I1L,-0
M5,I1R,0
M5,M2R,0
M5,M3L,0
M5,M3R,0
M5,M4,-0
M5,M5,-0
M5,MCL,-0
M5,MCR,0
M5,MI,-0
M5,NSML,-0
M5,NSMR,-0
M5,I2L,-0
M5,I2R,0
M5,I3,0
M5,I4,0
M5,I5,0
M5,I6,-0
M5,M1,-0
M5,M2L,0
MCL,I1L,4.07687706842989
MCL,I1R,16.5003845615738
MCL,M2R,0.337336234633767
MCL,M3L,0.225199000730754
MCL,M3R,-0.260890406020735
MCL,M4,13.7381587373761
MCL,M5,-4.31717023504155e-06
MCL,MCL,-0.0686149673656473
MCL,MCR,3.28271700996811
MCL,MI,95.3142594547821
MCL,NSML,0.913285087406621
MCL,NSMR,3.11398782330252
MCL,I2L,-1.02474610091303
MCL,I2R,0.505802791190945
MCL,I3,-12.5810003196184
